,X,Y,KMean2,KMean3,KMean4,KMean5,KMean6
154096,-122.417964484,37.7586968166,1,1,1,0,0
154108,-122.418467748,37.787965257,0,0,0,3,1
154109,-122.418467748,37.787965257,0,0,0,3,1
154116,-122.418467748,37.787965257,0,0,0,3,1
154138,-122.415629332,37.7572322279,1,1,1,0,0
154167,-122.418467748,37.787965257,0,0,0,3,1
154168,-122.418467748,37.787965257,0,0,0,3,1
154169,-122.418467748,37.787965257,0,0,0,3,1
154170,-122.417812559,37.7571005796,1,1,1,0,0
154286,-122.41592985,37.7604330004,1,1,1,0,0
154287,-122.41592985,37.7604330004,1,1,1,0,0
154288,-122.41592985,37.7604330004,1,1,1,0,0
154289,-122.41592985,37.7604330004,1,1,1,0,0
154294,-122.403409085,37.7531779939,1,1,1,0,0
154296,-122.410059856,37.788082534,0,0,0,1,3
154312,-122.41967178,37.7650501215,1,1,1,0,0
154321,-122.419052694,37.7586324052,1,1,1,0,0
154353,-122.41592985,37.7604330004,1,1,1,0,0
154404,-122.408040475,37.7864094034,0,0,0,1,3
154488,-122.417964484,37.7586968166,1,1,1,0,0
154514,-122.418467748,37.787965257,0,0,0,3,1
154515,-122.418467748,37.787965257,0,0,0,3,1
154565,-122.418486297,37.7634954373,1,1,1,0,0
154568,-122.418467748,37.787965257,0,0,0,3,1
154589,-122.41592985,37.7604330004,1,1,1,0,0
154593,-122.41592985,37.7604330004,1,1,1,0,0
154594,-122.41592985,37.7604330004,1,1,1,0,0
154595,-122.41592985,37.7604330004,1,1,1,0,0
154611,-122.41592985,37.7604330004,1,1,1,0,0
154612,-122.41592985,37.7604330004,1,1,1,0,0
154624,-122.41638971,37.7652491154,1,1,1,0,0
154627,-122.418368839,37.7874861572,0,0,0,3,1
154629,-122.418467748,37.787965257,0,0,0,3,1
154630,-122.418274172,37.7870372044,0,0,0,3,1
154631,-122.426635077,37.7549624154,1,1,1,0,0
154632,-122.417332583,37.7635718956,1,1,1,0,0
154727,-122.408231026,37.787359495,0,0,0,1,3
154807,-122.411702003,37.7878718776,0,0,0,3,1
154808,-122.415781282,37.7588312135,1,1,1,0,0
154854,-122.417964484,37.7586968166,1,1,1,0,0
155094,-122.408231026,37.787359495,0,0,0,1,3
155131,-122.412502864,37.7590272974,1,1,1,0,0
155167,-122.408231026,37.787359495,0,0,0,1,3
155168,-122.419930112,37.7868262082,0,0,0,3,1
155291,-122.408231026,37.787359495,0,0,0,1,3
155292,-122.41592985,37.7604330004,1,1,1,0,0
155561,-122.408231026,37.787359495,0,0,0,1,3
155575,-122.408231026,37.787359495,0,0,0,1,3
155592,-122.40840386,37.7882933915,0,0,0,1,3
155598,-122.417488324,37.765181804,1,1,1,0,0
155643,-122.415629332,37.7572322279,1,1,1,0,0
155655,-122.405466576,37.7646048757,1,1,1,0,0
155667,-122.408040475,37.7864094034,0,0,0,1,3
155694,-122.415781282,37.7588312135,1,1,1,0,0
155742,-122.417964484,37.7586968166,1,1,1,0,0
155794,-122.415629332,37.7572322279,1,1,1,0,0
155942,-122.417812559,37.7571005796,1,1,1,0,0
156048,-122.418120086,37.760301234,1,1,1,0,0
156057,-122.412173946,37.7629167767,1,1,1,0,0
156060,-122.41967178,37.7650501215,1,1,1,0,0
156065,-122.408231026,37.787359495,0,0,0,1,3
156146,-122.411090795,37.7617009782,1,1,1,0,0
156147,-122.409876623,37.787148808,0,0,0,1,3
156162,-122.41766064,37.755504342,1,1,1,0,0
156194,-122.403409085,37.7531779939,1,1,1,0,0
156330,-122.417964484,37.7586968166,1,1,1,0,0
156344,-122.40840386,37.7882933915,0,0,0,1,3
156357,-122.418120086,37.760301234,1,1,1,0,0
156396,-122.418120086,37.760301234,1,1,1,0,0
156397,-122.417964484,37.7586968166,1,1,1,0,0
156398,-122.418272166,37.7619029613,1,1,1,0,0
156419,-122.417964484,37.7586968166,1,1,1,0,0
156420,-122.414845139,37.7605000726,1,1,1,0,0
156421,-122.417964484,37.7586968166,1,1,1,0,0
156474,-122.41766064,37.755504342,1,1,1,0,0
156486,-122.408231026,37.787359495,0,0,0,1,3
156633,-122.41592985,37.7604330004,1,1,1,0,0
156717,-122.417964484,37.7586968166,1,1,1,0,0
156728,-122.417964484,37.7586968166,1,1,1,0,0
156957,-122.41592985,37.7604330004,1,1,1,0,0
156965,-122.416720982,37.7571677817,1,1,1,0,0
156995,-122.418120086,37.760301234,1,1,1,0,0
157180,-122.417964484,37.7586968166,1,1,1,0,0
157198,-122.417028392,37.7603656932,1,1,1,0,0
157375,-122.415239912,37.7589178813,1,1,1,0,0
157398,-122.412056242,37.7609899089,1,1,1,0,0
157567,-122.416863556,37.7579459515,1,1,1,0,0
157833,-122.415921585,37.7596123169,1,1,1,0,0
157843,-122.415605496,37.7677177521,1,1,1,0,0
157858,-122.408384276,37.7878271137,0,0,0,1,3
157974,-122.463079076,37.7254765726,1,2,2,2,2
158041,-122.417577215,37.7603888134,1,1,1,0,0
158042,-122.416070933,37.7612142237,1,1,1,0,0
158119,-122.417260521,37.7570790191,1,1,1,0,0
158130,-122.460301751,37.7242085323,1,2,2,2,2
158132,-122.473030392,37.7432215533,1,2,3,4,5
158261,-122.415229421,37.7588083436,1,1,1,0,0
158335,-122.413045094,37.7589402059,1,1,1,0,0
158336,-122.415770264,37.7580118295,1,1,1,0,0
158337,-122.412179604,37.7622630617,1,1,1,0,0
158346,-122.405468776,37.7639259195,1,1,1,0,0
158369,-122.488025948,37.7425626183,1,2,3,4,5
158495,-122.418445946,37.7882184508,0,0,0,3,1
158544,-122.417817853,37.7578884408,1,1,1,0,0
158545,-122.41718521,37.7627583408,1,1,1,0,0
158823,-122.415921585,37.7596123169,1,1,1,0,0
159177,-122.410699658,37.7869881885,0,0,0,1,3
159341,-122.403404791,37.7754207067,0,0,0,1,3
159661,-122.41027135,37.7895016292,0,0,0,1,3
159775,-122.459564595,37.7246926894,1,2,2,2,2
159828,-122.410699658,37.7869881885,0,0,0,1,3
159900,-122.410791678,37.783695227,0,0,0,1,3
159991,-122.469655723,37.7648181686,1,2,3,4,5
160052,-122.418208517,37.7555244882,1,1,1,0,0
160063,-122.412422725,37.7648250318,1,1,1,0,0
160131,-122.498974694,37.7607866652,1,2,3,4,5
160312,-122.418108926,37.7594801326,1,1,1,0,0
160467,-122.417970955,37.7594884557,1,1,1,0,0
160495,-122.417970955,37.7594884557,1,1,1,0,0
160553,-122.440593032,37.7163046735,1,2,2,2,2
160555,-122.400180244,37.7913046529,0,0,0,1,3
160835,-122.405941469,37.790463178,0,0,0,1,3
160837,-122.405283981,37.7965510481,0,0,0,1,3
160978,-122.402780926,37.7258401277,1,1,1,0,4
161035,-122.405396537,37.793524904,0,0,0,1,3
161037,-122.502148729,37.7755496262,1,2,3,4,5
161041,-122.404079634,37.7108555178,1,1,1,0,4
161149,-122.417169895,37.7611477648,1,1,1,0,0
161232,-122.403994863,37.794611818,0,0,0,1,3
161809,-122.418963082,37.7584203037,1,1,1,0,0
161931,-122.400916029,37.7854574903,0,0,0,1,3
161941,-122.416025191,37.7556559649,1,1,1,0,0
161968,-122.404195425,37.7912255174,0,0,0,1,3
162165,-122.406886504,37.7887345764,0,0,0,1,3
162167,-122.406886504,37.7887345764,0,0,0,1,3
162168,-122.406886504,37.7887345764,0,0,0,1,3
162171,-122.406886504,37.7887345764,0,0,0,1,3
162173,-122.406886504,37.7887345764,0,0,0,1,3
162174,-122.406886504,37.7887345764,0,0,0,1,3
162176,-122.406886504,37.7887345764,0,0,0,1,3
162177,-122.406886504,37.7887345764,0,0,0,1,3
162178,-122.406886504,37.7887345764,0,0,0,1,3
162223,-122.417970955,37.7594884557,1,1,1,0,0
162302,-122.408384276,37.7878271137,0,0,0,1,3
162405,-122.410699658,37.7869881885,0,0,0,1,3
162646,-122.406886504,37.7887345764,0,0,0,1,3
162648,-122.406886504,37.7887345764,0,0,0,1,3
162650,-122.406886504,37.7887345764,0,0,0,1,3
162652,-122.406886504,37.7887345764,0,0,0,1,3
162653,-122.406886504,37.7887345764,0,0,0,1,3
162655,-122.406886504,37.7887345764,0,0,0,1,3
162656,-122.406886504,37.7887345764,0,0,0,1,3
162657,-122.406886504,37.7887345764,0,0,0,1,3
162658,-122.406886504,37.7887345764,0,0,0,1,3
162660,-122.406886504,37.7887345764,0,0,0,1,3
162661,-122.406886504,37.7887345764,0,0,0,1,3
162663,-122.406886504,37.7887345764,0,0,0,1,3
162664,-122.406886504,37.7887345764,0,0,0,1,3
162665,-122.406886504,37.7887345764,0,0,0,1,3
162666,-122.406886504,37.7887345764,0,0,0,1,3
162667,-122.406886504,37.7887345764,0,0,0,1,3
162694,-122.406886504,37.7887345764,0,0,0,1,3
163468,-122.408247356,37.7878432562,0,0,0,1,3
163519,-122.408247356,37.7878432562,0,0,0,1,3
163590,-122.409155387,37.7863245886,0,0,0,1,3
164056,-122.403404791,37.7754207067,0,0,0,1,3
164413,-122.489090192,37.7424057567,1,2,3,4,5
164774,-122.405490836,37.7939790012,0,0,0,1,3
164777,-122.412857127,37.7855804362,0,0,0,3,1
165111,-122.422188261,37.7726948237,1,1,1,0,0
165140,-122.492316502,37.7423737279,1,2,3,4,5
165260,-122.410111374,37.778632049,0,0,0,1,3
165401,-122.416331137,37.7588520014,1,1,1,0,0
165402,-122.416878691,37.7595544125,1,1,1,0,0
165508,-122.422188261,37.7726948237,1,1,1,0,0
165890,-122.404828019,37.7897596938,0,0,0,1,3
166055,-122.445474781,37.732396601,1,2,2,2,2
166263,-122.490170247,37.7424682354,1,2,3,4,5
166291,-122.416070933,37.7612142237,1,1,1,0,0
166350,-122.410721626,37.7870966496,0,0,0,1,3
166419,-122.411747372,37.7859988324,0,0,0,3,1
166421,-122.481592052,37.7427355501,1,2,3,4,5
166426,-122.404828019,37.7897596938,0,0,0,1,3
166428,-122.407114491,37.7899019823,0,0,0,1,3
166430,-122.416032977,37.7883351248,0,0,0,3,1
166434,-122.478194247,37.7625630892,1,2,3,4,5
166649,-122.415543548,37.7621213524,1,1,1,0,0
166912,-122.408384276,37.7878271137,0,0,0,1,3
167194,-122.403404791,37.7754207067,0,0,0,1,3
167929,-122.40940833,37.7644227956,1,1,1,0,0
167971,-122.417970955,37.7594884557,1,1,1,0,0
168005,-122.417016664,37.7595460925,1,1,1,0,0
168107,-122.408595111,37.7837069302,0,0,0,1,3
168242,-122.400916029,37.7854574903,0,0,0,1,3
168243,-122.400916029,37.7854574903,0,0,0,1,3
168244,-122.400916029,37.7854574903,0,0,0,1,3
168245,-122.400916029,37.7854574903,0,0,0,1,3
168246,-122.400916029,37.7854574903,0,0,0,1,3
168247,-122.400916029,37.7854574903,0,0,0,1,3
168248,-122.400916029,37.7854574903,0,0,0,1,3
168249,-122.400916029,37.7854574903,0,0,0,1,3
168250,-122.400916029,37.7854574903,0,0,0,1,3
168254,-122.410699658,37.7869881885,0,0,0,1,3
168255,-122.410699658,37.7869881885,0,0,0,1,3
168256,-122.410699658,37.7869881885,0,0,0,1,3
168257,-122.410699658,37.7869881885,0,0,0,1,3
168258,-122.410699658,37.7869881885,0,0,0,1,3
168259,-122.410699658,37.7869881885,0,0,0,1,3
168264,-122.410699658,37.7869881885,0,0,0,1,3
168265,-122.410699658,37.7869881885,0,0,0,1,3
168266,-122.410699658,37.7869881885,0,0,0,1,3
168267,-122.410699658,37.7869881885,0,0,0,1,3
168268,-122.410699658,37.7869881885,0,0,0,1,3
168269,-122.410699658,37.7869881885,0,0,0,1,3
168270,-122.410699658,37.7869881885,0,0,0,1,3
168271,-122.410699658,37.7869881885,0,0,0,1,3
168272,-122.410699658,37.7869881885,0,0,0,1,3
168273,-122.410699658,37.7869881885,0,0,0,1,3
168274,-122.410699658,37.7869881885,0,0,0,1,3
168275,-122.410699658,37.7869881885,0,0,0,1,3
168276,-122.410699658,37.7869881885,0,0,0,1,3
168277,-122.410699658,37.7869881885,0,0,0,1,3
168298,-122.404828019,37.7897596938,0,0,0,1,3
168301,-122.411857033,37.788323545,0,0,0,3,1
168304,-122.404079634,37.7108555178,1,1,1,0,4
168306,-122.445217148,37.7827388378,0,0,0,3,1
168510,-122.410699658,37.7869881885,0,0,0,1,3
168511,-122.410699658,37.7869881885,0,0,0,1,3
168512,-122.410699658,37.7869881885,0,0,0,1,3
168718,-122.419058868,37.7594227506,1,1,1,0,0
168822,-122.423682814,37.796204621,0,0,0,3,1
169054,-122.400916029,37.7854574903,0,0,0,1,3
169055,-122.400916029,37.7854574903,0,0,0,1,3
169187,-122.403904789,37.7941711833,0,0,0,1,3
169189,-122.406981047,37.7946373197,0,0,0,1,3
169191,-122.471250259,37.7805788609,0,2,3,4,5
169410,-122.408648589,37.7849124714,0,0,0,1,3
169526,-122.418562097,37.7841847091,0,0,0,3,1
169854,-122.409336466,37.7925067441,0,0,0,1,3
169867,-122.417970955,37.7594884557,1,1,1,0,0
169869,-122.416472035,37.7603453746,1,1,1,0,0
169960,-122.404767636,37.7946646538,0,0,0,1,3
170572,-122.419561596,37.7632161069,1,1,1,0,0
173902,-122.43217156,37.722349838,1,1,2,2,4
174468,-122.509644694,37.7752065367,1,2,3,4,5
176571,-122.415921585,37.7596123169,1,1,1,0,0
176965,-122.417955822,37.7578801214,1,1,1,0,0
177322,-122.414845139,37.7605000726,1,1,1,0,0
177544,-122.400916029,37.7854574903,0,0,0,1,3
177545,-122.400916029,37.7854574903,0,0,0,1,3
177546,-122.400916029,37.7854574903,0,0,0,1,3
